"","ML3","ML5","ML1","ML2","ML4"
"ONEOFF_PURCHASES",0.984115004329556,-0.0836043398221376,0.0520927101842096,0.0808248777751835,0.0499146000237705
"PURCHASES",0.845124755015558,-0.108798803931127,0.246002441754375,0.118465395059542,0.430982421303362
"ONEOFF_PURCHASES_FREQUENCY",0.694599892814605,-0.071749889547181,0.303692344030866,0.0400721769844337,-0.104975046598625
"PURCHASES_TRX",0.581613142413619,-0.093841982083635,0.502263000953071,0.121061055245207,0.351145680729904
"PAYMENTS",0.476191356519534,0.258647754702389,0.0228154788579928,0.233537586403264,0.282959003974625
"CASH_ADVANCE_TRX",-0.00558289128732683,0.939261449803102,-0.0746727807296062,0.187684508535889,-0.0172682453113693
"CASH_ADVANCE_FREQUENCY",-0.0421276042834435,0.890496074941297,-0.145116250915014,0.216149157969757,-0.0358900400456812
"CASH_ADVANCE",-0.0364549759049267,0.691296614513414,-0.124903743530872,0.366065236226622,-0.0206561355836213
"PURCHASES_FREQUENCY",0.299902030101275,-0.185410093535256,0.931497515081329,-0.0160739014994572,0.0525155904515406
"PURCHASES_INSTALLMENTS_FREQUENCY",0.0884078401668867,-0.151917544544811,0.851945812226546,0.00554259405457236,0.269185509582285
"BALANCE",0.104461397079336,0.298765821815462,-0.0581607283694043,0.944136362425173,0.00757002848814083
"MINIMUM_PAYMENTS",0.0220542889187292,0.130725747499306,0.0171804963631692,0.58719953298246,0.0943690700859832
"CREDIT_LIMIT",0.308085634076653,0.0856936302392616,0.047911378672412,0.495244051510535,0.104502746505104
"BALANCE_FREQUENCY",0.117082475521701,0.142268012788581,0.243247838139002,0.320555476051275,-0.0122823184527151
"PRC_FULL_PAYMENT",0.143720131229219,-0.136805228493221,0.242076396072961,-0.318560302998995,0.112181547329581
"TENURE",0.0614679021959834,-0.10483424673331,0.0241551461103763,0.106374810064577,0.0714718748191748
"INSTALLMENTS_PURCHASES",0.252581687608916,-0.0991988772616352,0.470460449462299,0.108507380305657,0.820126194697835
